np,nc,no
2.36012,0.0964355,201.586
2.14809,0.223389,199.177
1.97317,0.253906,198.758
2.09034,0.0537109,198.444
2.18151,0.169678,198.758
2.21114,-0.0952148,199.177
2.33607,0.0476074,198.025
2.31917,0.438232,200.434
2.21122,0.0842285,198.444
2.09766,0.153809,199.386
2.27076,0.314941,199.805
2.3794,0.252686,197.816
2.07396,-0.0634766,199.386
2.15701,0.0231934,198.758
2.27775,-0.0231934,198.758
2.33041,0.169678,199.386
2.32694,0.362549,199.386
2.1555,0.161133,198.234
2.24305,0.0646973,199.805
2.23367,0.147705,198.025
2.31737,0.406494,196.035
2.33437,-0.00976563,200.852
2.50898,0.10376,198.234
2.47013,0.211182,200.852
2.1927,0.0366211,201.586
2.03237,0.317383,197.816
1.79616,0.0256348,200.434
2.07738,0.0317383,196.978
2.27991,0.272217,197.397
2.32067,0.0292969,199.177
2.41961,0.00244141,198.968
2.33828,0.24292,200.643
2.17795,-0.184326,200.852
2.14064,0.0939941,199.177
2.10734,0.108643,199.596
2.08113,0.123291,198.444
2.24287,0.0634766,200.434
2.17607,0.299072,197.606
2.0663,0.10498,199.177
2.15358,0.0756836,200.224
2.28562,0.101318,197.397
2.19827,-0.0244141,201.376
2.26897,0.185547,198.234
2.1183,0.111084,199.177
2.02165,0.0769043,200.015
2.21915,0.245361,198.444
2.16328,0.327148,198.758
2.19462,0.27832,199.805
2.24275,-0.0354004,197.397
2.32255,0.252686,198.968
2.34869,-0.0244141,199.805
2.34767,0.0915527,196.245
2.34752,0.498047,199.386
2.20921,0.0854492,200.015
2.24063,0.119629,197.606
2.17728,0.195313,202.004
2.18884,0.330811,197.606
2.08672,-0.211182,198.234
2.15929,0.202637,199.177
2.50343,-0.020752,195.407
2.47158,0.0317383,199.177
2.54435,0.527344,198.758
2.53309,0.162354,199.177
2.31137,0.125732,201.167
2.3005,0.374756,198.968
2.16288,0.0939941,198.234
2.08827,-0.0976563,198.444
2.33413,0.216064,198.234
2.43099,-0.065918,199.386
2.44593,0.117188,197.606
2.43297,0.245361,198.444
2.62661,0.214844,198.758
2.68641,0.340576,200.015
2.46106,0.169678,197.816
2.37351,-0.0732422,199.386
2.40448,0.0805664,198.968
2.45467,-0.012207,198.758
2.46062,0.147705,199.177
2.36574,0.423584,199.596
2.21878,0.258789,197.816
2.31908,0.129395,199.805
2.35604,0.203857,198.234
2.35407,0.32959,196.035
2.35046,-0.0415039,200.643
2.52987,0.0646973,198.234
2.52657,0.0610352,200.224
2.33114,0.0439453,201.795
2.13886,0.235596,197.816
1.95776,0.197754,199.805
2.1478,0.108643,197.397
2.16642,0.380859,196.768
2.37521,0.330811,199.386
2.62475,-0.152588,198.968
2.53533,0.230713,200.643
2.43467,-0.102539,201.586
2.11403,0.012207,199.386
1.85567,0.213623,200.015
1.96409,0.180664,198.444
2.09234,0.109863,200.224
2.12403,0.223389,197.816
2.17777,0.332031,198.968
2.13492,-0.26123,200.434
2.2038,0.078125,197.606
2.1758,0.0537109,201.376
2.18522,-0.0549316,198.758
2.14073,0.441895,199.177
2.02525,0.00732422,200.015
2.14258,0.0354004,198.758
2.1032,0.366211,198.968
2.1625,0.174561,200.015
2.18124,-0.065918,197.816
2.21519,0.078125,198.968
2.27499,0.0622559,199.805
2.28032,0.0891113,196.559
2.32866,0.375977,198.758
2.3732,0.253906,200.224
2.50885,0.00976563,197.187
2.39359,0.250244,198.025
2.41606,0.251465,197.816
2.54824,0.0891113,199.596
2.50372,0.169678,195.407
2.33445,-0.179443,198.968
2.62665,0.322266,199.177
2.74173,0.389404,199.177
2.37707,0.113525,201.376
2.36932,0.206299,199.386
2.12614,0.288086,199.386
1.83227,0.17334,198.444
1.82269,-0.3125,198.968
2.01424,0.155029,198.444
2.18154,0.0292969,200.015
2.2559,0.0170898,197.606
2.17059,0.603027,199.805
2.13706,0.252686,198.758
2.2693,0.0415039,198.234
2.22622,0.263672,200.224
2.17735,0.328369,197.816
2.09389,-0.317383,199.177
2.1203,0.161133,198.968
2.2486,0.078125,198.444
2.30073,0.0769043,198.758
2.28945,0.341797,199.386
2.37505,0.268555,197.606
2.32106,-0.0415039,199.386
2.34891,0.206299,198.758
2.41058,0.19043,195.826
2.273,-0.108643,200.224
2.51295,0.213623,198.758
2.39382,0.0524902,202.004
2.07186,0.0500488,202.004
1.91929,0.358887,197.397
1.6756,-0.00610352,196.245
1.95301,0.250244,199.596
2.4037,0.253906,199.596
2.44094,-0.19043,200.015
2.04424,0.101318,201.376
1.99,-0.00976563,198.758
1.88552,0.0524902,199.386
1.91147,0.24292,198.234
2.11083,0.230713,199.386
2.28592,0.00610352,197.606
2.26349,0.340576,198.444
2.34002,0.247803,200.015
2.48502,-0.10376,197.606
2.25039,0.196533,200.643
2.2693,-0.0244141,198.968
2.20581,0,198.444
2.09082,0.41748,199.596
2.28625,0.20752,198.444
2.27106,0.108643,198.758
2.22458,0.307617,199.805
2.34906,0.318604,198.234
2.18154,-0.0390625,198.758
2.17012,0.135498,199.596
2.43107,0.065918,196.978
2.37397,0.175781,197.606
2.43693,0.494385,200.434
2.52928,0.0952148,197.397
2.33777,0.218506,201.795
2.36792,0.126953,199.386
2.15383,0.253906,197.816
1.95472,-0.126953,200.224
2.3065,-0.0219727,195.617
2.30608,0.224609,198.444
2.59605,0.113525,198.968
2.80302,0.401611,198.758
2.46462,0.319824,201.167
2.32125,-0.0231934,199.596
2.11262,0.250244,198.758
2.11996,0.247803,199.386
2.14602,-0.216064,198.444
2.12568,0.0878906,200.434
2.0684,-0.211182,197.606
2.12621,0.0195313,199.596
2.21885,0.400391,199.596
2.12382,0.251465,197.816
2.18709,0.10376,200.852
2.36983,0.301514,198.025
2.35524,0.185547,199.177
2.30648,-0.0292969,199.596
2.40298,0.108643,198.758
2.43977,0.130615,198.968
2.5743,0.178223,200.224
2.70858,0.390625,197.816
2.63778,0.240479,200.015
2.7623,0.330811,200.015
2.87181,0.380859,196.978
2.9524,0.557861,201.376
2.92284,0.0476074,200.434
3.03406,0.290527,200.434
3.07798,0.288086,203.785
3.14618,0.296631,199.386
3.22284,0.615234,201.586
3.32801,0.397949,200.224
3.44511,0.438232,198.968
3.51393,0.561523,202.633
3.55687,0.495605,202.214
3.56576,0.469971,204.204
3.6569,0.524902,205.67
3.68872,0.284424,203.785
3.78807,0.494385,204.832
3.91801,0.596924,204.204
4.04027,0.577393,206.193
4.27637,0.649414,204.622
4.3045,0.407715,206.612
4.01961,0.922852,208.392
4.07888,0.689697,205.67
4.31395,0.640869,210.068
4.46085,0.744629,210.068
4.6203,0.875244,210.277
4.67551,0.704346,211.01
4.7035,0.543213,211.848
4.87768,0.820313,212.267
4.86507,0.41626,211.639
4.81127,0.635986,214.257
4.95326,0.516357,213
4.98861,0.723877,213.419
5.02559,0.332031,217.084
5.00816,0.675049,215.409
5.17122,0.831299,219.911
5.23693,0.5896,217.084
5.22712,0.942383,218.445
5.07321,0.601807,218.655
5.22825,1.06201,217.503
5.36869,0.498047,221.901
5.30145,1.04614,221.273
5.15473,0.723877,225.462
5.41369,0.870361,223.681
5.43197,0.699463,224.833
5.32048,1.06567,224.519
5.26571,0.843506,226.509
5.38969,0.71167,225.043
5.26307,0.695801,228.08
5.05451,0.90332,229.336
5.11186,0.584717,227.242
5.16285,0.605469,231.745
5.24473,0.683594,230.069
5.19405,0.571289,232.268
5.37266,0.523682,232.059
5.25325,0.339355,233.106
5.16605,0.777588,234.677
5.05063,0.43457,232.687
4.7273,0.682373,235.934
5.03446,0.700684,234.677
4.95949,0.748291,236.143
5.02372,0.78125,237.504
5.05435,0.632324,239.494
4.87226,0.52002,239.285
4.8322,0.701904,239.075
4.62109,0.405273,239.285
4.58664,0.529785,237.923
4.6783,0.407715,241.903
