np,nc,no
14.6946,-29.1121,-0.635925
14.4969,-29.4263,-0.537598
14.5764,-29.4263,-0.537598
15.1203,-29.9499,-0.50592
15.3714,-29.9499,-0.50592
15.2095,-29.9499,-0.558838
15.3144,-29.9499,-0.558838
15.243,-30.264,-0.452637
14.912,-30.264,-0.452637
14.8343,-30.264,-0.524231
14.8023,-30.264,-0.524231
14.3085,-29.9499,-0.475159
13.6771,-29.9499,-0.475159
13.5389,-29.8451,-0.539063
13.5275,-29.8451,-0.539063
13.4139,-29.8451,-0.586853
13.7158,-29.8451,-0.586853
14.1758,-29.7404,-0.61908
14.3176,-29.7404,-0.61908
14.1621,-29.4263,-0.635559
14.221,-29.4263,-0.635559
14.2534,-29.2168,-0.539246
14.0371,-29.2168,-0.539246
13.8832,-29.2168,-0.535583
14.2742,-29.2168,-0.535583
14.6475,-29.4263,-0.459961
14.5175,-29.4263,-0.459961
14.6039,-29.4263,-0.527527
14.5681,-29.4263,-0.527527
14.2382,-29.531,-0.442932
14.0122,-29.531,-0.442932
14.2908,-29.6357,-0.459595
14.3529,-29.6357,-0.459595
13.7441,-29.7404,-0.512329
13.3539,-29.7404,-0.512329
13.2687,-30.1593,-0.513245
12.878,-30.1593,-0.513245
12.9728,-30.1593,-0.601868
13.5972,-30.1593,-0.601868
13.9207,-30.1593,-0.595459
13.748,-30.1593,-0.595459
13.7886,-29.8451,-0.609924
14.0321,-29.8451,-0.609924
13.8567,-29.7404,-0.51123
13.8743,-29.7404,-0.51123
14.2815,-29.531,-0.459778
14.1511,-29.531,-0.459778
13.6698,-29.531,-0.476624
13.5476,-29.531,-0.476624
13.5718,-29.531,-0.432495
13.5897,-29.531,-0.432495
13.6061,-29.531,-0.504822
14.0661,-29.531,-0.504822
14.4821,-29.531,-0.474976
14.2302,-29.531,-0.474976
13.9611,-30.264,-0.575684
13.9353,-30.264,-0.575684
13.5612,-30.6829,-0.569458
13.473,-30.6829,-0.569458
13.9443,-30.7876,-0.603516
14.2903,-30.7876,-0.603516
14.1347,-30.7876,-0.651855
14.3604,-30.7876,-0.651855
14.8426,-30.6829,-0.580627
14.9487,-30.6829,-0.580627
14.9074,-30.3687,-0.576965
15.3236,-30.3687,-0.576965
15.4704,-29.531,-0.464172
14.7758,-29.531,-0.464172
14.3515,-28.7979,-0.530457
14.3008,-28.7979,-0.530457
13.8674,-28.7979,-0.422424
13.6511,-28.7979,-0.422424
14.1429,-28.7979,-0.484314
14.5079,-28.7979,-0.484314
14.2494,-29.7404,-0.546204
14.118,-29.7404,-0.546204
